hit wid src trg item work.seconds accept.time submit.time concurrent.hits corrected.work.seconds approval 
3XBXDSS888F4QKDS62JWRREDFQ0XLE	F0005	en	es	ad	819	"2016-11-23 06:39:33"	"2016-11-23 06:53:12"	1	819	Approved	
3BAKUKE49H873HNC4TVLIUJBG3B1RH	F0012	en	es	ad	2196	"2016-11-23 02:29:22"	"2016-11-23 03:05:58"	1	2196	Approved	
3RKHNXPHGWS1PA1FGXW8SK2UW8EUKG	F0032	en	es	ad	1955	"2016-11-23 10:44:22"	"2016-11-23 11:16:57"	1	1955	Submitted	
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0032	en	es	ad	1039	"2016-11-23 11:17:27"	"2016-11-23 11:34:46"	1	1039	Submitted	
3TTPFEFXCTGPL9A6EUV8ZM8M15T6HN	F0040	en	es	ad	1819	"2016-11-23 09:23:43"	"2016-11-23 09:54:02"	3	606.333333333333	Submitted	
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0040	en	es	ad	3188	"2016-11-23 09:24:08"	"2016-11-23 10:17:16"	3	1062.66666666667	Submitted	
3DFYDSXB2WW6EQVXYCWWR52HHJEUJH	F0040	en	es	ad	4802	"2016-11-23 09:28:24"	"2016-11-23 10:48:26"	3	1600.66666666667	Submitted	
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0040	en	es	ad	4867	"2016-11-23 09:54:10"	"2016-11-23 11:15:17"	3	1622.33333333333	Submitted	
39TX062QX1KNAGN30WFWV5KWF4A3X7	F0040	en	es	ad	4992	"2016-11-23 10:17:42"	"2016-11-23 11:40:54"	3	1664	Submitted	
391FPZIE4CIANK07ACTBFSM24RAUHC	F0040	en	es	ad	5311	"2016-11-23 11:15:50"	"2016-11-23 12:44:21"	2	2655.5	Submitted	
3XT3KXP24ZUPH4LQKCDTZY912MII6B	F0040	en	es	ad	1512	"2016-11-25 07:18:03"	"2016-11-25 07:43:15"	3	504	Submitted	
3FDWKV9VCNYWFY1I199O7XUYMHKUM5	F0040	en	es	ad	1644	"2016-11-25 07:27:17"	"2016-11-25 07:54:41"	2	822	Submitted	
344M16OZKIBL8KPWNA9JGUXV5J0NEH	F0040	en	es	ad	4587	"2016-11-25 07:41:20"	"2016-11-25 08:57:47"	3	1529	Submitted	
3RHLQY6EDT0UU61Q9AJ3B39AEQ4D4J	F0040	en	es	ad	4979	"2016-11-25 07:54:57"	"2016-11-25 09:17:56"	2	2489.5	Submitted	
3XQ4XW3OD98QTH5L2MV4DNYCVFIS2W	F0040	en	es	ad	4933	"2016-11-25 08:07:18"	"2016-11-25 09:29:31"	3	1644.33333333333	Submitted	
