rep_id,a_type,wid,hit,src,trg,item,sys,sid,rep_type,score_a,time_a,score_b,time_b
0,intra,F0040,3FDWKV9VCNYWFY1I199O7XUYMHKUM5,en,es,ad,all,677,sys_sys,37,1644,26,1644
0,intra,F0039,375VSR8FVW54YD8KC44DAO3NTINZR3,en,es,ad,all,285,sys_sys,75,732,88,732
0,intra,F0039,3EKTG13IZUZTW8EOSVHNGAYF8MGMLJ,en,es,ad,all,604,sys_sys,89,1143,95,1143
0,intra,F0039,375VSR8FVW54YD8KC44DAO3NTINZR3,en,es,ad,all,857,sys_sys,73,732,89,732
0,intra,F0040,391FPZIE4CIANK07ACTBFSM24RAUHC,en,es,ad,all,70,sys_sys,27,5311,8,5311
0,intra,F0021,3APP19WN71ABLDFVUODQEMWLM5G6GO,en,es,ad,all,528,sys_sys,92,1561,90,1561
0,intra,F0040,39TX062QX1KNAGN30WFWV5KWF4A3X7,en,es,ad,all,457,sys_sys,12,4992,12,4992
0,intra,F0015,39TX062QX1KNAGN30WFWV5KWF4A3X7,en,es,ad,all,621,sys_sys,51,2324,51,2324
0,intra,F0013,33W1NHWFYHHHESLCGT98A345H3KZTG,en,es,ad,all,876,sys_sys,92,4709,100,4709
0,intra,F0034,3O0M2G5VC6YIRGO9XUE1P7QKM1F94F,en,es,ad,all,563,sys_sys,27,1801,55,1801
0,intra,F0039,302U8RURJZX2AVBII0YTGYLH5D6NVO,en,es,ad,all,759,sys_sys,49,2219,58,2219
0,intra,F0039,302U8RURJZX2AVBII0YTGYLH5D6NVO,en,es,ad,all,756,sys_sys,86,2219,95,2219
0,intra,F0029,391FPZIE4CIANK07ACTBFSM24RAUHC,en,es,ad,all,1051,sys_sys,76,2110,86,2110
0,intra,F0040,3DFYDSXB2WW6EQVXYCWWR52HHJEUJH,en,es,ad,all,296,sys_sys,9,4802,50,4802
0,intra,F0037,375VSR8FVW54YD8KC44DAO3NTINZR3,en,es,ad,all,687,sys_sys,71,1926,51,1926
0,intra,F0012,3BAKUKE49H873HNC4TVLIUJBG3B1RH,en,es,ad,all,868,sys_sys,38,2196,40,2196
0,intra,F0040,39TX062QX1KNAGN30WFWV5KWF4A3X7,en,es,ad,all,586,sys_sys,4,4992,4,4992
0,intra,F0016,3JMQI2OLFZ1GGEBWRFYZACFA57ZNDO,en,es,ad,all,550,sys_sys,88,1681,98,1681
0,intra,F0040,3DFYDSXB2WW6EQVXYCWWR52HHJEUJH,en,es,ad,all,503,sys_sys,39,4802,26,4802
0,intra,F0039,3HXCEECSQMPDVEK6QZW7IKWKX8GZYQ,en,es,ad,all,302,sys_sys,75,1472,77,1472
0,intra,F0039,3ZFRE2BDQ9AOV9UWL3A5Z6PBV2MZXK,en,es,ad,all,891,sys_sys,90,1645,80,1645
0,intra,F0039,3DFYDSXB2WW6EQVXYCWWR52HHJEUJH,en,es,ad,all,74,sys_sys,92,2407,100,2407
0,intra,F0037,3YLTXLH3DF2XVFSBTQUH5MZ3XCYPHW,en,es,ad,all,257,sys_sys,76,4662,75,4662
0,intra,F0040,344M16OZKIBL8KPWNA9JGUXV5J0NEH,en,es,ad,all,597,sys_sys,98,4587,99,4587
0,intra,F0037,3IKMEYR0LWRS5YSDXDM2M172EK92KR,en,es,ad,all,456,sys_sys,34,3559,26,3559
0,intra,F0039,375VSR8FVW54YD8KC44DAO3NTINZR3,en,es,ad,all,351,sys_sys,92,732,83,732
0,intra,F0008,3I7SHAD35MSUHNPMO1GDX5GEE5Q7MH,en,es,ad,all,375,sys_sys,43,2982,69,2982
0,intra,F0045,3XWUWJ18TLMFS66RAB0AY7BSZ1SUUY,en,es,ad,all,182,sys_sys,58,4843,58,4843
0,intra,F0039,3GL25Y6843QOW2VD6EKBR4T2FVQXMG,en,es,ad,all,531,sys_sys,95,2293,89,2293
0,intra,F0021,33W1NHWFYHHHESLCGT98A345H3KZTG,en,es,ad,all,11,sys_sys,98,1698,95,1698
0,intra,F0039,3ZXNP4Z39RHAB571OPFYXS1PE007LF,en,es,ad,all,672,sys_sys,92,810,75,810
0,intra,F0008,3I7SHAD35MSUHNPMO1GDX5GEE5Q7MH,en,es,ad,all,457,sys_sys,62,2982,63,2982
0,intra,F0039,3HXCEECSQMPDVEK6QZW7IKWKX8GZYQ,en,es,ad,all,782,sys_sys,43,1472,85,1472
0,intra,F0004,3XBXDSS888F4QKDS62JWRREDFQ0XLE,en,es,ad,all,760,sys_sys,70,2018,49,2018
0,intra,F0040,3TTPFEFXCTGPL9A6EUV8ZM8M15T6HN,en,es,ad,all,292,sys_sys,100,1819,100,1819
0,intra,F0039,39TX062QX1KNAGN30WFWV5KWF4A3X7,en,es,ad,all,1,sys_sys,94,992,86,992
0,intra,F0039,3XWUWJ18TLMFS66RAB0AY7BSZ2QUUY,en,es,ad,all,332,sys_sys,85,1150,98,1150
0,intra,F0034,3O0M2G5VC6YIRGO9XUE1P7QKM1F94F,en,es,ad,all,264,sys_sys,75,1801,78,1801
0,intra,F0040,391FPZIE4CIANK07ACTBFSM24RAUHC,en,es,ad,all,550,sys_sys,25,5311,30,5311
0,intra,F0037,391JB9X4ZY4IC2W67V5M1AL0KQMKMY,en,es,ad,all,687,sys_sys,38,5220,58,5220
0,intra,F0021,3EKTG13IZUZTW8EOSVHNGAYF8MGMLJ,en,es,ad,all,858,sys_sys,92,1726,26,1726
0,intra,F0037,3IKMEYR0LWRS5YSDXDM2M172EK92KR,en,es,ad,all,626,sys_sys,75,3559,74,3559
0,intra,F0037,3W3RSPVVGSNC9GJX1X897KF9MCUUL3,en,es,ad,all,750,sys_sys,88,1127,88,1127
0,intra,F0040,3FDWKV9VCNYWFY1I199O7XUYMHKUM5,en,es,ad,all,497,sys_sys,93,1644,92,1644
0,intra,F0004,3XBXDSS888F4QKDS62JWRREDFQ0XLE,en,es,ad,all,314,sys_sys,72,2018,69,2018
0,intra,F0029,3TTPFEFXCTGPL9A6EUV8ZM8M15T6HN,en,es,ad,all,368,sys_sys,62,1802,54,1802
0,intra,F0039,3O0M2G5VC6YIRGO9XUE1P7QKM1F94F,en,es,ad,all,935,sys_sys,86,917,87,917
0,intra,F0007,32LAQ1JNT9L0STR2A6A0TBPQGOJUT7,en,es,ad,all,686,sys_sys,100,1542,100,1542
0,intra,F0037,3M0556243SGDEYPSILTPYCIVHKFNFZ,en,es,ad,all,589,sys_sys,91,2209,96,2209
0,intra,F0021,3TTPFEFXCTGPL9A6EUV8ZM8M15T6HN,en,es,ad,all,292,sys_sys,100,1695,100,1695
0,intra,F0037,3IKMEYR0LWRS5YSDXDM2M172EK92KR,en,es,ad,all,980,sys_sys,66,3559,40,3559
0,intra,F0021,3D1TUISJWIWAJFBRGUBWF4NH44PUI5,en,es,ad,all,597,sys_sys,100,1573,100,1573
0,intra,F0040,3XQ4XW3OD98QTH5L2MV4DNYCVFIS2W,en,es,ad,all,185,sys_sys,33,4933,74,4933
0,intra,F0040,3APP19WN71ABLDFVUODQEMWLM5G6GO,en,es,ad,all,862,sys_sys,7,3188,15,3188
