HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
3EKTG13IZUZTW8EOSVHNGAYF8MGMLJ	F0006	en	es	ad	5	5077	"Wed Nov 23 05:25:03 2016"	"Wed Nov 23 06:49:40 2016"	Rejected
3EKTG13IZUZTW8EOSVHNGAYF8MGMLJ	F0003	en	es	ad	5	4483	"Wed Nov 23 07:27:18 2016"	"Wed Nov 23 08:42:01 2016"	Rejected
3EKTG13IZUZTW8EOSVHNGAYF8MGMLJ	F0039	en	es	ad	5	1143	"Wed Nov 23 10:14:58 2016"	"Wed Nov 23 10:34:01 2016"	Submitted
39TX062QX1KNAGN30WFWV5KWF4A3X7	F0015	en	es	ad	6	2324	"Wed Nov 23 05:05:04 2016"	"Wed Nov 23 05:43:48 2016"	Approved
39TX062QX1KNAGN30WFWV5KWF4A3X7	F0039	en	es	ad	6	992	"Wed Nov 23 09:15:42 2016"	"Wed Nov 23 09:32:14 2016"	Submitted
39TX062QX1KNAGN30WFWV5KWF4A3X7	F0003	en	es	ad	6	4114	"Wed Nov 23 07:27:13 2016"	"Wed Nov 23 08:35:47 2016"	Rejected
39TX062QX1KNAGN30WFWV5KWF4A3X7	F0014	en	es	ad	6	2777	"Wed Nov 23 07:52:37 2016"	"Wed Nov 23 08:38:54 2016"	Approved
39TX062QX1KNAGN30WFWV5KWF4A3X7	F0040	en	es	ad	6	4992	"Wed Nov 23 10:17:42 2016"	"Wed Nov 23 11:40:54 2016"	Submitted
39TX062QX1KNAGN30WFWV5KWF4A3X7	F0046	en	es	ad	6	1690	"Wed Nov 23 08:14:29 2016"	"Wed Nov 23 08:42:39 2016"	Rejected
375VSR8FVW54YD8KC44DAO3NTINZR3	F0009	en	es	ad	7	3333	"Wed Nov 23 10:55:15 2016"	"Wed Nov 23 11:50:48 2016"	Submitted
375VSR8FVW54YD8KC44DAO3NTINZR3	F0039	en	es	ad	7	732	"Wed Nov 23 10:40:19 2016"	"Wed Nov 23 10:52:31 2016"	Submitted
375VSR8FVW54YD8KC44DAO3NTINZR3	F0017	en	es	ad	7	1792	"Wed Nov 23 07:13:10 2016"	"Wed Nov 23 07:43:02 2016"	Approved
