rep_id,a_type,wid,hit,src,trg,item,sys,sid,rep_type,score_a,time_a,score_b,time_b
0,intra,F0001,3IHWR4LC7D9CLI4EDRARJC5S7DZI8F,en,es,ad,all,314,sys_sys,100,1008,83,1008
0,intra,F0031,37AQKJ12TXKLSGCDA1KQOF3OXB5TTA,en,es,ad,all,999,sys_sys,29,4529,38,4529
0,intra,F0031,35YHTYFL1GZQM3Y1KCFG8TC83NDVFK,en,es,ad,all,481,sys_sys,2,3176,3,3176
0,intra,F0031,3BPP3MA3TCGVKKMBBXT432T60OWLE9,en,es,ad,all,1047,sys_sys,51,4223,76,4223
0,intra,F0025,3QQUBC64ZEAUEKGDIFZB4JI2LNNXN8,en,es,ad,all,519,sys_sys,93,1194,97,1194
0,intra,F0031,389A2A304OE3QQDBQD1QFU1FCE90CN,en,es,ad,all,257,sys_sys,39,995,27,995
0,intra,F0024,3ZZAYRN1I6N5FO75EKYRU5X1XZJOT5,en,es,ad,all,382,sys_sys,83,2118,86,2118
0,intra,F0001,302OLP89DZ3ZR3BTIFYJ40DSKWFAC9,en,es,ad,all,462,sys_sys,67,1691,78,1691
0,intra,F0005,35O6H0UNLSCPTB5IXBOOJTA1J495J3,en,es,ad,all,161,sys_sys,99,1386,32,1386
0,intra,F0021,3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I,en,es,ad,all,335,sys_sys,100,4993,100,4993
0,intra,F0001,3L2OEKSTW96YBIJJH9WU50ZGXUNY8N,en,es,ad,all,811,sys_sys,100,1505,100,1505
0,intra,F0014,3ABAOCJ4R804N5U1K0PJXWX9IQVQM0,en,es,ad,all,858,sys_sys,39,1717,27,1717
0,intra,F0000,3L2OEKSTW96YBIJJH9WU50ZGXUNY8N,en,es,ad,all,343,sys_sys,60,424,42,424
0,intra,F0001,3ABAOCJ4R804N5U1K0PJXWX9IQVQM0,en,es,ad,all,620,sys_sys,99,1258,98,1258
0,intra,F0038,3LEG2HW4UFJHPC0ZW2V56OFX6N12FW,en,es,ad,all,972,sys_sys,44,870,46,870
0,intra,F0031,388FBO7JZRPJEP6NNBLDNXPBNV1NYS,en,es,ad,all,506,sys_sys,99,4593,100,4593
0,intra,F0038,334ZEL5JX6B40OUQPKT1K01FVG5OSG,en,es,ad,all,857,sys_sys,26,1660,53,1660
0,intra,F0001,3OB6JN3A9QL4Z691XFEJ2M7EEE7RMG,en,es,ad,all,597,sys_sys,99,787,100,787
0,intra,F0023,35F6NGNVM8FYUIF6XYHPJJB678ZT76,en,es,ad,all,165,sys_sys,93,2740,80,2740
0,intra,F0038,38G0E1M85M1F5LVRF1AFUTDBC4DVUR,en,es,ad,all,972,sys_sys,53,2159,76,2159
0,intra,F0037,3XBXDSS888F4QKDS62JWRREDGSNXL6,en,es,ad,all,750,sys_sys,97,319,78,319
0,intra,F0038,3HA5ODM5KAOZQ83NQWFFFSVNR7SVSB,en,es,ad,all,862,sys_sys,84,2987,38,2987
0,intra,F0038,34OWYT6U3WDCZNNOIJG5J803RJHI94,en,es,ad,all,186,sys_sys,56,2430,56,2430
0,intra,F0040,3MDKGGG61QJFQI11EOCXD5BACXFT67,en,es,ad,all,847,sys_sys,87,756,87,756
0,intra,F0038,334ZEL5JX6B40OUQPKT1K01FVG5OSG,en,es,ad,all,285,sys_sys,58,1660,62,1660
0,intra,F0037,337F8MIIMZ90VM0WXYV8WWPRKZ804M,en,es,ad,all,1041,sys_sys,52,869,65,869
0,intra,F0023,3B9XR6P1WERRIRMRYLF1MFATSWZJBD,en,es,ad,all,980,sys_sys,73,2840,50,2840
0,intra,F0001,3ZZAYRN1I6N5FO75EKYRU5X1XX9OTR,en,es,ad,all,837,sys_sys,85,3571,99,3571
0,intra,F0024,3Q7TKIAPOT6QSE8BF2IKXKBL0CVLDG,en,es,ad,all,607,sys_sys,45,2738,46,2738
0,intra,F0038,3VJ4PFXFJ33VDXST46JJY6ZYRWMUA3,en,es,ad,all,584,sys_sys,40,1211,39,1211
0,intra,F0021,3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I,en,es,ad,all,311,sys_sys,97,4993,94,4993
0,intra,F0024,32FESTC2NHMJ6CPROKFA41PMS1TCUE,en,es,ad,all,351,sys_sys,15,1380,100,1380
0,intra,F0035,3HEM8MA6H98A88RECGHBE0R4O1LQPO,en,es,ad,all,351,sys_sys,25,3578,27,3578
0,intra,F0023,35F6NGNVM8FYUIF6XYHPJJB678ZT76,en,es,ad,all,1047,sys_sys,17,2740,75,2740
0,intra,F0019,3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I,en,es,ad,all,311,sys_sys,90,2288,75,2288
0,intra,F0023,3B9XR6P1WERRIRMRYLF1MFATSWZJBD,en,es,ad,all,676,sys_sys,79,2840,75,2840
0,intra,F0031,3SV8KD29L4OIB9VPMKVG9CH9YQVKZX,en,es,ad,all,344,sys_sys,23,5332,11,5332
0,intra,F0001,3Z3R5YC0P3JB9BUCFHF17BON5YSFTA,en,es,ad,all,182,sys_sys,79,911,51,911
0,intra,F0022,3HA5ODM5KAOZQ83NQWFFFSVNR7SVSB,en,es,ad,all,123,sys_sys,96,1158,93,1158
0,intra,F0008,3B9XR6P1WERRIRMRYLF1MFATSWZJBD,en,es,ad,all,130,sys_sys,34,3928,20,3928
0,intra,F0025,30P8I9JKOIHYK65CE027MHLVERFV5D,en,es,ad,all,346,sys_sys,73,2484,74,2484
0,intra,F0041,3O4VWC1GEW2MFWIEJS0V4WCH44N3J7,en,es,ad,all,109,sys_sys,0,2320,92,2320
0,intra,F0038,3HA5ODM5KAOZQ83NQWFFFSVNR7SVSB,en,es,ad,all,1048,sys_sys,71,2987,46,2987
0,intra,F0016,3MDKGGG61QJFQI11EOCXD5BACXFT67,en,es,ad,all,476,sys_sys,100,5184,53,5184
0,intra,F0035,3LAZVA75NINBVPDSV5EVTIOBYQC2O6,en,es,ad,all,130,sys_sys,26,1539,24,1539
0,intra,F0027,3DGDV62G7O5TGPPTA5RAIIT18V82PN,en,es,ad,all,927,sys_sys,53,1190,61,1190
0,intra,F0039,38G0E1M85M1F5LVRF1AFUTDBC4DVUR,en,es,ad,all,531,sys_sys,50,1365,99,1365
0,intra,F0007,31SIZS5W59BVKL7TP8L0JVRJPJ9QRG,en,es,ad,all,930,sys_sys,100,2035,48,2035
0,intra,F0025,30P8I9JKOIHYK65CE027MHLVERFV5D,en,es,ad,all,586,sys_sys,16,2484,24,2484
0,intra,F0039,3HA5ODM5KAOZQ83NQWFFFSVNR7SVSB,en,es,ad,all,894,sys_sys,100,1501,100,1501
0,intra,F0045,31MBOZ6PAONGNM2XF6N9DET3FCJLCG,en,es,ad,all,182,sys_sys,96,2673,14,2673
0,intra,F0038,3ZZAYRN1I6N5FO75EKYRU5X1XX9OTR,en,es,ad,all,1041,sys_sys,25,1899,35,1899
0,intra,F0007,31SIZS5W59BVKL7TP8L0JVRJPJ9QRG,en,es,ad,all,462,sys_sys,80,2035,76,2035
0,intra,F0038,3ZZAYRN1I6N5FO75EKYRU5X1XX9OTR,en,es,ad,all,837,sys_sys,100,1899,100,1899
0,intra,F0010,3KG2UQJ0MJKA5NF1W14JABM9NG5QN0,en,es,ad,all,857,sys_sys,98,1523,99,1523
0,intra,F0022,3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I,en,es,ad,all,592,sys_sys,61,1305,45,1305
0,intra,F0044,3DZKABX2ZI1JJRERTAPF0NR5682CV3,en,es,ad,all,568,sys_sys,86,3844,90,3844
0,intra,F0031,3P888QFVX3QSN8FDXG4WP0MEEWPQO7,en,es,ad,all,412,sys_sys,26,4911,12,4911
