hit wid src trg item work.seconds accept.time submit.time concurrent.hits corrected.work.seconds approval 
389A2A304OE3QQDBQD1QFU1FCE90CN	F0031	en	es	ad	995	"2016-11-25 04:35:23"	"2016-11-25 04:51:58"	3	331.666666666667	Submitted	
35YHTYFL1GZQM3Y1KCFG8TC83NDVFK	F0031	en	es	ad	3176	"2016-11-25 04:35:57"	"2016-11-25 05:28:53"	3	1058.66666666667	Submitted	
388FBO7JZRPJEP6NNBLDNXPBNV1NYS	F0031	en	es	ad	4593	"2016-11-25 04:45:29"	"2016-11-25 06:02:02"	4	1148.25	Submitted	
31KPKEKW4A9KGLL5CD5V4AVXUT90BG	F0031	en	es	ad	5174	"2016-11-25 04:52:00"	"2016-11-25 06:18:14"	4	1293.5	Submitted	
3BPP3MA3TCGVKKMBBXT432T60OWLE9	F0031	en	es	ad	4223	"2016-11-25 05:33:55"	"2016-11-25 06:44:18"	3	1407.66666666667	Submitted	
3P888QFVX3QSN8FDXG4WP0MEEWPQO7	F0031	en	es	ad	4911	"2016-11-25 05:40:16"	"2016-11-25 07:02:07"	4	1227.75	Submitted	
37AQKJ12TXKLSGCDA1KQOF3OXB5TTA	F0031	en	es	ad	4529	"2016-11-25 06:02:04"	"2016-11-25 07:17:33"	4	1132.25	Submitted	
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1913	"2016-11-21 06:14:00"	"2016-11-21 06:45:53"	1	1913	Submitted	
3O4VWC1GEW2MFWIEJS0V4WCH44N3J7	F0017	en	es	ad	1656	"2016-11-21 06:46:18"	"2016-11-21 07:13:54"	1	1656	Submitted	
3B9XR6P1WERRIRMRYLF1MFATSWZJBD	F0008	en	es	ad	3928	"2016-11-21 13:17:00"	"2016-11-21 14:22:28"	1	3928	Submitted	
38G0E1M85M1F5LVRF1AFUTDBC4DVUR	F0028	en	es	ad	215	"2016-11-21 08:12:14"	"2016-11-21 08:15:49"	1	215	Rejected	
3D5G8J4N5A0058G2FWK5PXR9TQ6VT0	F0028	en	es	ad	163	"2016-11-21 08:16:01"	"2016-11-21 08:18:44"	1	163	Rejected	
35F6NGNVM8FYUIF6XYHPJJB678ZT76	F0028	en	es	ad	217	"2016-11-21 08:18:49"	"2016-11-21 08:22:26"	1	217	Rejected	
3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I	F0028	en	es	ad	208	"2016-11-21 08:22:36"	"2016-11-21 08:26:04"	1	208	Rejected	
3JGHED38EDNUB4E0744OR03LMAHY70	F0028	en	es	ad	671	"2016-11-21 08:26:47"	"2016-11-21 08:37:58"	1	671	Rejected	
3B9XR6P1WERRIRMRYLF1MFATSWZJBD	F0028	en	es	ad	509	"2016-11-21 08:38:28"	"2016-11-21 08:46:57"	1	509	Rejected	
3B286OTISEDMZHHZS7F5R4QNAEEJAI	F0028	en	es	ad	832	"2016-11-21 09:01:20"	"2016-11-21 09:15:12"	1	832	Rejected	
