HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I	F0019	en	es	ad	10	2288	"Mon Nov 21 12:46:19 2016"	"Mon Nov 21 13:24:27 2016"	Submitted
3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I	F0022	en	es	ad	10	1305	"Mon Nov 21 08:54:37 2016"	"Mon Nov 21 09:16:22 2016"	Submitted
3D5G8J4N5A0058G2FWK5PXR9TQ6VT0	F0028	en	es	ad	11	163	"Mon Nov 21 08:16:01 2016"	"Mon Nov 21 08:18:44 2016"	Rejected
3D5G8J4N5A0058G2FWK5PXR9TQ6VT0	F0002	en	es	ad	11	3655	"Mon Nov 21 08:15:51 2016"	"Mon Nov 21 09:16:46 2016"	Submitted
3D5G8J4N5A0058G2FWK5PXR9TQ6VT0	F0027	en	es	ad	11	2060	"Mon Nov 21 12:46:03 2016"	"Mon Nov 21 13:20:23 2016"	Submitted
3D5G8J4N5A0058G2FWK5PXR9TQ6VT0	F0022	en	es	ad	11	1234	"Mon Nov 21 09:49:13 2016"	"Mon Nov 21 10:09:47 2016"	Submitted
37M4O367VJEFUJB3081GZL2IMU8M5J	F0023	en	es	ad	12	2174	"Mon Nov 21 08:31:20 2016"	"Mon Nov 21 09:07:34 2016"	Submitted
37M4O367VJEFUJB3081GZL2IMU8M5J	F0030	en	es	ad	12	1211	"Mon Nov 21 12:00:29 2016"	"Mon Nov 21 12:20:40 2016"	Submitted
37M4O367VJEFUJB3081GZL2IMU8M5J	F0020	en	es	ad	12	1212	"Mon Nov 21 04:56:55 2016"	"Mon Nov 21 05:17:07 2016"	Submitted
38G0E1M85M1F5LVRF1AFUTDBC4DVUR	F0009	en	es	ad	13	1978	"Mon Nov 21 08:55:55 2016"	"Mon Nov 21 09:28:53 2016"	Submitted
38G0E1M85M1F5LVRF1AFUTDBC4DVUR	F0028	en	es	ad	13	215	"Mon Nov 21 08:12:14 2016"	"Mon Nov 21 08:15:49 2016"	Rejected
38G0E1M85M1F5LVRF1AFUTDBC4DVUR	F0038	en	es	ad	13	2159	"Mon Nov 21 13:11:53 2016"	"Mon Nov 21 13:47:52 2016"	Submitted
38G0E1M85M1F5LVRF1AFUTDBC4DVUR	F0039	en	es	ad	13	1365	"Mon Nov 21 09:26:34 2016"	"Mon Nov 21 09:49:19 2016"	Submitted
35F6NGNVM8FYUIF6XYHPJJB678ZT76	F0015	en	es	ad	14	2296	"Mon Nov 21 12:51:22 2016"	"Mon Nov 21 13:29:38 2016"	Submitted
35F6NGNVM8FYUIF6XYHPJJB678ZT76	F0023	en	es	ad	14	2740	"Mon Nov 21 09:09:27 2016"	"Mon Nov 21 09:55:07 2016"	Submitted
35F6NGNVM8FYUIF6XYHPJJB678ZT76	F0028	en	es	ad	14	217	"Mon Nov 21 08:18:49 2016"	"Mon Nov 21 08:22:26 2016"	Rejected
35F6NGNVM8FYUIF6XYHPJJB678ZT76	F0022	en	es	ad	14	1433	"Mon Nov 21 10:10:16 2016"	"Mon Nov 21 10:34:09 2016"	Submitted
3J06WJ78HNGFI0KRKRKKQFFUQBMVVG	F0040	en	es	ad	15	698	"Mon Nov 21 07:41:01 2016"	"Mon Nov 21 07:52:39 2016"	Submitted
3J06WJ78HNGFI0KRKRKKQFFUQBMVVG	F0011	en	es	ad	15	4303	"Mon Nov 21 09:30:09 2016"	"Mon Nov 21 10:41:52 2016"	Submitted
3J06WJ78HNGFI0KRKRKKQFFUQBMVVG	F0012	en	es	ad	15	3456	"Mon Nov 21 05:54:10 2016"	"Mon Nov 21 06:51:46 2016"	Submitted
3Z3R5YC0P3JB9BUCFHF17BON5YSFTA	F0001	en	es	ad	0	911	"Tue Nov 22 04:28:17 2016"	"Tue Nov 22 04:43:28 2016"	Submitted
3IHWR4LC7D9CLI4EDRARJC5S7DZI8F	F0001	en	es	ad	1	1008	"Tue Nov 22 05:08:04 2016"	"Tue Nov 22 05:24:52 2016"	Submitted
3OB6JN3A9QL4Z691XFEJ2M7EEE7RMG	F0001	en	es	ad	2	787	"Tue Nov 22 05:24:55 2016"	"Tue Nov 22 05:38:02 2016"	Submitted
3TD33TP5DLYGHYJN4F2OTG7A2BFAB2	F0031	en	es	ad	3	4790	"Tue Nov 22 05:17:46 2016"	"Tue Nov 22 06:37:36 2016"	Submitted
31J7RYECZLMW0JSZZ9YPWIACABNL1C	F0001	en	es	ad	4	658	"Tue Nov 22 04:43:32 2016"	"Tue Nov 22 04:54:30 2016"	Submitted
3511RHPADVAKTORGX3D429SPE9HRLE	F0001	en	es	ad	5	806	"Tue Nov 22 04:54:33 2016"	"Tue Nov 22 05:07:59 2016"	Submitted
3OJX0UFJ0Z3H8EIOC05J2BOELE4U9O	F0004	en	es	ad	6	2931	"Tue Nov 22 05:27:52 2016"	"Tue Nov 22 06:16:43 2016"	Submitted
334ZEL5JX6B40OUQPKT1K01FVG5OSG	F0038	en	es	ad	7	1660	"Tue Nov 22 05:13:39 2016"	"Tue Nov 22 05:41:19 2016"	Submitted
3SV8KD29L4OIB9VPMKVG9CH9YQVKZX	F0031	en	es	ad	8	5332	"Tue Nov 22 05:18:40 2016"	"Tue Nov 22 06:47:32 2016"	Submitted
3ZZAYRN1I6N5FO75EKYRU5X1XZJOT5	F0024	en	es	ad	9	2118	"Tue Nov 22 06:51:20 2016"	"Tue Nov 22 07:26:38 2016"	Submitted
3YGYP136415AHOU19GTJF1WEJ4HRNG	F0031	en	es	ad	10	3546	"Tue Nov 22 05:17:35 2016"	"Tue Nov 22 06:16:41 2016"	Submitted
34OWYT6U3WDCZNNOIJG5J803RJHI94	F0038	en	es	ad	11	2430	"Tue Nov 22 04:29:41 2016"	"Tue Nov 22 05:10:11 2016"	Submitted
302OLP89DZ3ZR3BTIFYJ40DSKWFAC9	F0001	en	es	ad	12	1691	"Tue Nov 22 05:38:02 2016"	"Tue Nov 22 06:06:13 2016"	Submitted
32XN26MTXZFWTU7H3QUPIDR25JHL09	F0031	en	es	ad	13	4732	"Tue Nov 22 08:32:51 2016"	"Tue Nov 22 09:51:43 2016"	Submitted
3VJ4PFXFJ33VDXST46JJY6ZYRWMUA3	F0038	en	es	ad	14	1211	"Tue Nov 22 06:41:35 2016"	"Tue Nov 22 07:01:46 2016"	Submitted
3BO3NEOQM0DQ46XTAPU5F3BNX1ZIAJ	F0027	en	es	ad	15	733	"Tue Nov 22 03:14:39 2016"	"Tue Nov 22 03:26:52 2016"	Submitted
35O6H0UNLSCPTB5IXBOOJTA1J495J3	F0005	en	es	ad	0	1386	"Thu Nov 24 08:37:51 2016"	"Thu Nov 24 09:00:57 2016"	Submitted
3JTPR5MTZS8K4VB0FWO0K8AEYT95K2	F0037	en	es	ad	1	1393	"Thu Nov 24 07:43:53 2016"	"Thu Nov 24 08:07:06 2016"	Submitted
3CVDZS288HW7WG4S6KEPLXTVCSIFM0	F0006	en	es	ad	2	1014	"Thu Nov 24 08:23:25 2016"	"Thu Nov 24 08:40:19 2016"	Submitted
3S8A4GJRD3ZU3A5QJJCCENZVAMQV6T	F0036	en	es	ad	3	596	"Thu Nov 24 07:58:25 2016"	"Thu Nov 24 08:08:21 2016"	Submitted
